瘤痢,瘤痢疙,老矫,扁柯(∑C),浅加(m/s),老荤(MJ/m2)
156,堡林,2024-07-10 0:00,25.2,3.4,
156,堡林,2024-07-10 1:00,25.3,5.1,
156,堡林,2024-07-10 2:00,24.9,4.2,
156,堡林,2024-07-10 3:00,25.1,4.1,
156,堡林,2024-07-10 4:00,24.7,4.3,
156,堡林,2024-07-10 5:00,24.5,3.8,
156,堡林,2024-07-10 6:00,24.4,3.9,0.07
156,堡林,2024-07-10 7:00,24.5,4.1,0.1
156,堡林,2024-07-10 8:00,24.3,4,0.28
156,堡林,2024-07-10 9:00,24.5,2.9,0.51
156,堡林,2024-07-10 10:00,23.8,4,0.26
156,堡林,2024-07-10 11:00,23.5,2.6,0.3
156,堡林,2024-07-10 12:00,23.8,2,0.44
156,堡林,2024-07-10 13:00,24.9,2,1.39
156,堡林,2024-07-10 14:00,26.9,2.1,2.16
156,堡林,2024-07-10 15:00,27.1,1.6,1.89
156,堡林,2024-07-10 16:00,27.5,2.8,0.91
156,堡林,2024-07-10 17:00,26.8,3,1.01
156,堡林,2024-07-10 18:00,24.7,2.6,0.31
156,堡林,2024-07-10 19:00,24.2,1.6,0.15
156,堡林,2024-07-10 20:00,24,1.1,0.15
156,堡林,2024-07-10 21:00,24.2,1.3,
156,堡林,2024-07-10 22:00,23.8,1,
156,堡林,2024-07-10 23:00,23.8,0.5,
156,堡林,2024-07-11 0:00,23.6,0.5,
156,堡林,2024-07-11 1:00,23.3,1.1,
156,堡林,2024-07-11 2:00,23.3,0.6,
156,堡林,2024-07-11 3:00,23.2,1.4,
156,堡林,2024-07-11 4:00,23.2,1,
156,堡林,2024-07-11 5:00,22.5,0.2,
156,堡林,2024-07-11 6:00,22.4,0.5,0.08
156,堡林,2024-07-11 7:00,22.9,0.4,0.2
156,堡林,2024-07-11 8:00,23.8,0.2,0.46
156,堡林,2024-07-11 9:00,23.9,0,0.41
156,堡林,2024-07-11 10:00,23.7,0.6,0.24
156,堡林,2024-07-11 11:00,24.5,0.4,0.67
156,堡林,2024-07-11 12:00,25.3,0.7,0.9
156,堡林,2024-07-11 13:00,26.4,0.4,1.5
156,堡林,2024-07-11 14:00,26.6,0.6,1.65
156,堡林,2024-07-11 15:00,25.9,2.3,0.73
156,堡林,2024-07-11 16:00,25.8,1.9,0.68
156,堡林,2024-07-11 17:00,25.3,1.7,0.53
156,堡林,2024-07-11 18:00,24.7,1.5,0.36
156,堡林,2024-07-11 19:00,24.1,1.6,0.15
156,堡林,2024-07-11 20:00,23.8,1.1,0.09
156,堡林,2024-07-11 21:00,23.6,0.3,
156,堡林,2024-07-11 22:00,23.3,0.5,
156,堡林,2024-07-11 23:00,23,0.3,
156,堡林,2024-07-12 0:00,22.8,0.7,
156,堡林,2024-07-12 1:00,22.8,0.2,
156,堡林,2024-07-12 2:00,22.9,0.1,
156,堡林,2024-07-12 3:00,22.8,0.1,
156,堡林,2024-07-12 4:00,22.7,1.2,
156,堡林,2024-07-12 5:00,22.5,1.1,
156,堡林,2024-07-12 6:00,22.6,0.5,0.07
156,堡林,2024-07-12 7:00,23.1,0.4,0.2
156,堡林,2024-07-12 8:00,22.9,0.4,0.23
156,堡林,2024-07-12 9:00,24.5,0.8,0.98
156,堡林,2024-07-12 10:00,25.1,0.8,1.3
156,堡林,2024-07-12 11:00,25.9,0.6,1.8
156,堡林,2024-07-12 12:00,27.8,0.5,1.5
156,堡林,2024-07-12 13:00,28.3,0.9,2.37
156,堡林,2024-07-12 14:00,28,0.8,2.19
156,堡林,2024-07-12 15:00,28.9,0.5,1.79
156,堡林,2024-07-12 16:00,28.3,0.6,0.45
156,堡林,2024-07-12 17:00,28.6,2.2,1.15
156,堡林,2024-07-12 18:00,27.9,2,0.74
156,堡林,2024-07-12 19:00,26.7,2.7,0.18
156,堡林,2024-07-12 20:00,25.8,2,0.09
156,堡林,2024-07-12 21:00,25.3,0.8,
156,堡林,2024-07-12 22:00,25,1.2,
156,堡林,2024-07-12 23:00,24.2,0.1,
156,堡林,2024-07-13 0:00,23.8,1,
156,堡林,2024-07-13 1:00,23.7,0.5,
156,堡林,2024-07-13 2:00,23.3,0.9,
156,堡林,2024-07-13 3:00,23.1,0.4,
156,堡林,2024-07-13 4:00,22.6,0.7,
156,堡林,2024-07-13 5:00,22.7,0.4,
156,堡林,2024-07-13 6:00,22.9,0.6,0.08
156,堡林,2024-07-13 7:00,23.3,0.1,0.33
156,堡林,2024-07-13 8:00,24.2,0.5,0.65
156,堡林,2024-07-13 9:00,25.9,0.2,1.34
156,堡林,2024-07-13 10:00,26.9,0.7,2.14
156,堡林,2024-07-13 11:00,28.1,2,2.17
156,堡林,2024-07-13 12:00,26.9,3.7,1.31
156,堡林,2024-07-13 13:00,27.8,1.7,1.58
156,堡林,2024-07-13 14:00,27.9,1.6,1.91
156,堡林,2024-07-13 15:00,29.8,3.2,2.3
156,堡林,2024-07-13 16:00,28.8,3.7,2.28
156,堡林,2024-07-13 17:00,27.5,2.2,1.12
156,堡林,2024-07-13 18:00,26.4,3,0.62
156,堡林,2024-07-13 19:00,24.8,2.6,0.6
156,堡林,2024-07-13 20:00,24.7,2.6,0.19
156,堡林,2024-07-13 21:00,25.4,0.9,
156,堡林,2024-07-13 22:00,25.4,1.9,
156,堡林,2024-07-13 23:00,25.3,0.9,
156,堡林,2024-07-14 0:00,25.4,1.4,
156,堡林,2024-07-14 1:00,24.3,0.8,
156,堡林,2024-07-14 2:00,23.2,0.8,
156,堡林,2024-07-14 3:00,23.1,0.3,
156,堡林,2024-07-14 4:00,23.1,1.5,
156,堡林,2024-07-14 5:00,22.9,1.3,
156,堡林,2024-07-14 6:00,23,0.7,0.07
156,堡林,2024-07-14 7:00,23.5,0.7,0.21
156,堡林,2024-07-14 8:00,23.5,0.8,0.28
156,堡林,2024-07-14 9:00,24.2,1.2,0.56
156,堡林,2024-07-14 10:00,26.6,1,1.54
156,堡林,2024-07-14 11:00,25.9,0.8,0.71
156,堡林,2024-07-14 12:00,26,0.5,0.4
156,堡林,2024-07-14 13:00,26,2,0.98
156,堡林,2024-07-14 14:00,24.9,2.8,0.35
156,堡林,2024-07-14 15:00,25,0.5,0.62
156,堡林,2024-07-14 16:00,26.2,0.6,1.19
156,堡林,2024-07-14 17:00,26.1,1.5,0.82
156,堡林,2024-07-14 18:00,26.6,2.4,1.19
156,堡林,2024-07-14 19:00,25.5,1.2,0.63
156,堡林,2024-07-14 20:00,24.9,1.3,0.08
156,堡林,2024-07-14 21:00,24.5,0.8,
156,堡林,2024-07-14 22:00,24.9,0.8,
156,堡林,2024-07-14 23:00,24.5,0.8,
156,堡林,2024-07-15 0:00,24.5,0.3,
156,堡林,2024-07-15 1:00,24.2,0.3,
156,堡林,2024-07-15 2:00,23.7,0.6,
156,堡林,2024-07-15 3:00,23.8,0.5,
156,堡林,2024-07-15 4:00,23.5,1.1,
156,堡林,2024-07-15 5:00,23.3,0.3,
156,堡林,2024-07-15 6:00,23.5,0.3,0.07
156,堡林,2024-07-15 7:00,23.8,0.6,0.14
156,堡林,2024-07-15 8:00,24.5,0.4,0.31
156,堡林,2024-07-15 9:00,25.1,0.3,0.7
156,堡林,2024-07-15 10:00,27.6,0.3,1.71
156,堡林,2024-07-15 11:00,28.4,0.7,2.4
156,堡林,2024-07-15 12:00,28.7,2.2,2.39
156,堡林,2024-07-15 13:00,28.9,2,2.38
156,堡林,2024-07-15 14:00,29.1,3,2.04
156,堡林,2024-07-15 15:00,28.9,3,2.53
156,堡林,2024-07-15 16:00,30.3,2.8,2.51
156,堡林,2024-07-15 17:00,28.7,3.1,1.91
156,堡林,2024-07-15 18:00,27.9,3,1.13
156,堡林,2024-07-15 19:00,26.6,3.1,0.4
156,堡林,2024-07-15 20:00,26.1,2.4,0.1
156,堡林,2024-07-15 21:00,26,2.1,
156,堡林,2024-07-15 22:00,26.1,1.4,
156,堡林,2024-07-15 23:00,25.5,2.5,
156,堡林,2024-07-16 0:00,25.1,1.7,
156,堡林,2024-07-16 1:00,25.2,0.5,
156,堡林,2024-07-16 2:00,25.4,0.7,
156,堡林,2024-07-16 3:00,23.9,1.4,
156,堡林,2024-07-16 4:00,23.8,0.7,
156,堡林,2024-07-16 5:00,23.8,0.2,
156,堡林,2024-07-16 6:00,23.7,2.3,0.06
156,堡林,2024-07-16 7:00,22.9,2.1,0.1
156,堡林,2024-07-16 8:00,23.7,0.6,0.16
156,堡林,2024-07-16 9:00,23.9,0.5,0.4
156,堡林,2024-07-16 10:00,23.4,0.8,0.26
156,堡林,2024-07-16 11:00,23.8,0.6,0.42
156,堡林,2024-07-16 12:00,24.3,0.6,0.51
156,堡林,2024-07-16 13:00,24.9,0.9,0.63
156,堡林,2024-07-16 14:00,25.8,0.7,0.67
156,堡林,2024-07-16 15:00,25.8,0.3,0.57
156,堡林,2024-07-16 16:00,26.1,1.3,0.78
156,堡林,2024-07-16 17:00,24.9,1.4,0.16
156,堡林,2024-07-16 18:00,24.8,0.6,0.15
156,堡林,2024-07-16 19:00,25,1.7,0.13
156,堡林,2024-07-16 20:00,25.1,2,0.1
156,堡林,2024-07-16 21:00,25.2,1.8,
156,堡林,2024-07-16 22:00,25.1,1.9,
156,堡林,2024-07-16 23:00,24.9,1.7,
156,堡林,2024-07-17 0:00,24.5,1.8,
156,堡林,2024-07-17 1:00,24.5,1.5,
156,堡林,2024-07-17 2:00,24.4,1.1,
156,堡林,2024-07-17 3:00,24.6,2.3,
156,堡林,2024-07-17 4:00,24.7,1.7,
156,堡林,2024-07-17 5:00,24.9,2,
156,堡林,2024-07-17 6:00,24.8,1.9,0.06
156,堡林,2024-07-17 7:00,25.2,1.2,0.12
156,堡林,2024-07-17 8:00,25.8,2.6,0.25
156,堡林,2024-07-17 9:00,26,1.6,0.39
156,堡林,2024-07-17 10:00,26.4,2.1,0.57
156,堡林,2024-07-17 11:00,26.7,2.1,0.6
156,堡林,2024-07-17 12:00,27.3,2.7,1.37
156,堡林,2024-07-17 13:00,28.9,3.1,1.42
156,堡林,2024-07-17 14:00,29.5,4.9,2.23
156,堡林,2024-07-17 15:00,29.6,3.1,2.06
156,堡林,2024-07-17 16:00,27.2,3.6,0.92
156,堡林,2024-07-17 17:00,27.7,3,1.06
156,堡林,2024-07-17 18:00,27.8,3.3,0.65
156,堡林,2024-07-17 19:00,27.7,3,0.37
156,堡林,2024-07-17 20:00,27.2,2.9,0.12
156,堡林,2024-07-17 21:00,26.9,2.7,
156,堡林,2024-07-17 22:00,26.8,2.3,
156,堡林,2024-07-17 23:00,26.4,2.1,
156,堡林,2024-07-18 0:00,26.3,1.8,
156,堡林,2024-07-18 1:00,26.4,2.2,
156,堡林,2024-07-18 2:00,26.4,2.6,
156,堡林,2024-07-18 3:00,26.5,2.9,
156,堡林,2024-07-18 4:00,26.6,3.1,
156,堡林,2024-07-18 5:00,26.5,2.9,
156,堡林,2024-07-18 6:00,26.5,2.9,0.07
156,堡林,2024-07-18 7:00,26.7,2.8,0.17
156,堡林,2024-07-18 8:00,27,2.6,0.3
156,堡林,2024-07-18 9:00,27.1,3.5,0.32
156,堡林,2024-07-18 10:00,26.2,4.3,0.2
156,堡林,2024-07-18 11:00,25.6,1.6,0.27
156,堡林,2024-07-18 12:00,26.3,3.4,0.47
156,堡林,2024-07-18 13:00,26.7,4.5,0.56
156,堡林,2024-07-18 14:00,27.4,4.6,0.64
156,堡林,2024-07-18 15:00,27.9,3.7,0.89
156,堡林,2024-07-18 16:00,28.1,2.3,1.09
156,堡林,2024-07-18 17:00,27.5,3.2,0.6
156,堡林,2024-07-18 18:00,27,2.2,0.35
156,堡林,2024-07-18 19:00,26.6,2.7,0.16
156,堡林,2024-07-18 20:00,24.8,2.5,0.07
156,堡林,2024-07-18 21:00,24.5,2.1,
156,堡林,2024-07-18 22:00,25.2,1.1,
156,堡林,2024-07-18 23:00,24.8,2,
156,堡林,2024-07-19 0:00,25.2,2.7,
156,堡林,2024-07-19 1:00,23.3,2.5,
156,堡林,2024-07-19 2:00,23.3,0.8,
156,堡林,2024-07-19 3:00,23.4,0.6,
156,堡林,2024-07-19 4:00,23.2,0.8,
156,堡林,2024-07-19 5:00,23.1,0.5,
156,堡林,2024-07-19 6:00,23.2,0.3,0.07
156,堡林,2024-07-19 7:00,23.8,0.3,0.28
156,堡林,2024-07-19 8:00,24,1.4,0.35
156,堡林,2024-07-19 9:00,23.9,1.5,0.22
156,堡林,2024-07-19 10:00,24,1.7,0.15
156,堡林,2024-07-19 11:00,24.4,0.6,0.31
156,堡林,2024-07-19 12:00,25.3,0.8,0.59
156,堡林,2024-07-19 13:00,23.9,2.7,0.44
156,堡林,2024-07-19 14:00,25.2,2.1,1.38
156,堡林,2024-07-19 15:00,27.7,1.7,2.56
156,堡林,2024-07-19 16:00,27.5,1.3,2.14
156,堡林,2024-07-19 17:00,26.3,2.7,0.78
156,堡林,2024-07-19 18:00,25.9,1.2,0.45
156,堡林,2024-07-19 19:00,26.7,0.9,0.34
156,堡林,2024-07-19 20:00,25.5,1,0.14
156,堡林,2024-07-19 21:00,25.3,0.8,
156,堡林,2024-07-19 22:00,25.4,0.9,
156,堡林,2024-07-19 23:00,24.4,0.9,
156,堡林,2024-07-20 0:00,24.1,0.2,
156,堡林,2024-07-20 1:00,24.4,0.3,
156,堡林,2024-07-20 2:00,23.7,0.9,
156,堡林,2024-07-20 3:00,23.2,0.9,
156,堡林,2024-07-20 4:00,22.8,0.3,
156,堡林,2024-07-20 5:00,23.4,1.2,
156,堡林,2024-07-20 6:00,23.5,1.1,0.07
156,堡林,2024-07-20 7:00,24.5,0.2,0.2
156,堡林,2024-07-20 8:00,25.5,0.3,0.54
156,堡林,2024-07-20 9:00,23.9,1.7,0.27
156,堡林,2024-07-20 10:00,23.5,,0.1
156,堡林,2024-07-20 11:00,24.1,,0.28
156,堡林,2024-07-20 12:00,25.6,,0.86
156,堡林,2024-07-20 13:00,27.5,,2.3
156,堡林,2024-07-20 14:00,29.5,,2.11
156,堡林,2024-07-20 15:00,30.7,4.4,2.59
156,堡林,2024-07-20 16:00,30.2,4,1.38
156,堡林,2024-07-20 17:00,30.8,4.2,1.14
156,堡林,2024-07-20 18:00,29.3,3.5,0.64
156,堡林,2024-07-20 19:00,29.1,3.7,0.49
156,堡林,2024-07-20 20:00,28.2,2.9,0.08
156,堡林,2024-07-20 21:00,28,4.2,
156,堡林,2024-07-20 22:00,27.8,3.9,
156,堡林,2024-07-20 23:00,27.7,2.5,
156,堡林,2024-07-21 0:00,27.4,4.3,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
